Designator,Mid X,Mid Y,Layer,Rotation
C1,27.5,38.52,top,90
C2,29.25,38.75,top,90
C3,21.75,26.725,top,0
C4,27.25,26.725,top,180
C5,20.25,19.675001,top,-90
C6,64.24433,15.318072,top,0
C7,60.25,23.043072,top,0
C8,21.75,19.75,top,90
C9,57.75,19.5,top,-90
C11,14.277639,12.75,top,135
C12,67.25,28.5,top,135
C13,13.684493,28.204594,top,45
C14,66.25,12.5,top,45
D1,41.25,4.75,top,0
D2,13,11.5,top,135
D3,68.787868,29.639087,top,135
D4,12.434493,29.454594,top,45
D5,67.75,11.25,top,45
D6,17.75,38,top,180
J1,10.45,21.5,top,-90
M2,7.805635,9.573402,top,-45
M3,72.944365,31.176598,top,135
M4,9.573402,32.944365,top,-135
M5,70.926598,7.805635,top,45
P1,76.5,21,top,90
Q1,55.270001,38.109999,top,180
Q2,55.270001,26.109999,top,180
Q4,33.5,12.687501,top,-90
Q5,50.5,12.687501,top,-90
Q6,29,12.687501,top,-90
Q7,46,12.687501,top,-90
R1,37.5,7.8375,top,90
R2,18.5,19.675001,top,-90
R3,64.24433,20.543072,top,180
R4,64.24433,17.568072,top,0
R5,65.24433,23.793072,top,180
R6,66.49433,26.043072,top,0
R7,45.25,4.75,top,0
R8,40.5,7.75,top,90
R9,54.359999,29.48,top,180
R10,58.859999,38.48,top,-90
R11,16.75,33.25,top,-90
R12,33.5,16.75,top,0
R13,50.5,16.75,top,0
R14,29.0875,16.75,top,0
R15,46,16.75,top,0
SW1,24.75,19.799999,top,-90
SW2,54.5,19.5,top,90
U1,40.25,33.95,top,0
U2,24.75,33.25,top,0
U3,61.416081,28.25,top,45
U4,39.5,15.3,top,0
